match_name^match_id^seed_name^sim_score
Blackberry Curve 3G 9300 Pink^53109^Spice Stellar 519 Slate Grey 8 GB^54
Arise Mobile A9 Yellow^219314^Micromax Canvas 2 2 A114 White 1 GB^56
Intex Avatar 3D Grey^94086^Micromax Canvas Doodle 4 Blue 8 GB^34
Sony Ericsson PLAY^6135^BSNL Champion DM6513 White 2 GB^67
Wynncom W705^685129^Karbonn A90 White Silver 512 MB^56
Samsung Hero E2232 Black^80085^Lenovo A859 White 8 GB^51
Micromax CDMA Phone Q5c^7231^Karbonn Titanium S3 White 4 GB^22
Intex Aqua Trendy Black^663154^Nuvo Alpha NS35 4GB White 4 GB^45
Sony Ericsson Cedar^6160^Lava Flair Z1 Black 8 GB^22
