match_name^match_id^seed_name^sim_score
Blackberry Curve 3G 9300 Pink^53109^Spice Stellar 519 Slate Grey 8 GB^54
Arise Mobile A9 Yellow^219314^Micromax Canvas 2 2 A114 White 1 GB^56
Intex Avatar 3D Grey^94086^Micromax Canvas Doodle 4 Blue 8 GB^34
Sony Ericsson PLAY^6135^BSNL Champion DM6513 White 2 GB^67
Wynncom W705^685129^Karbonn A90 White Silver 512 MB^56
Samsung Hero E2232 Black^80085^Lenovo A859 White 8 GB^51
Micromax CDMA Phone Q5c^7231^Karbonn Titanium S3 White 4 GB^22
Intex Aqua Trendy Black^663154^Nuvo Alpha NS35 4GB White 4 GB^45
Sony Ericsson Cedar^6160^Lava Flair Z1 Black 8 GB^22
Fujezone Dual SIM Full Touch Screen Mobile Phone^2795^Sony Xperia M2 Dual Black 8 GB^22
Fly F 350 Black White^540400^Celkon Win 400 White 4 GB^56
Motorola Defy XT Black Dust^150598^Samsung Galaxy Ace Pure White 158 MB^45
Samsung E 1220 Blue Black^244312^Micromax Canvas Elanza 2 A121 Black 2 23 GB^56
Micromax Q66^7228^XOLO Prime Black 8 GB^22
Videocon V1431 Black Silver^434502^Spice Stellar 402 Silver 4 GB^56
Sony Ericsson Cedar^6160^BlackBerry Leap Grey 16 GB^45
Micromax Q50 Black^7207^Lava Iris Pro 20 Metal Blue 4 GB^45
BlackBerry Curve 3G 9300^4892^Sony Xperia M Black 4 GB^22
Nokia Asha 303 Red^70401^Makviz M401 Black White 4 GB^54
Micromax A73 Black^69446^Swipe Konnect 4 Black 4 GB^34
Celkon A95 Pro Black^616422^Micromax Canvas Nitro 2 Grey Silver 16 GB^42
iBall ANDI 4 5q White^651278^Swipe Konnect 4E Black 512 MB^45
Hitech X9^1485205^Spice Stellar 520 Red 4 GB^48
BlackBerry Curve 3G 9300^4892^T Max Jaguar Black 4 GB^22
iBall ANDI 4 5q White^651278^Intex Aqua R3 Black 512 MB^45
Micromax Q80^7234^iBall Andi 4 Arc Black Gold 2 GB^42
Micromax Q66^7228^Intex Aqua Power Blue 8 GB^22
Sony Ericsson Hazel^6168^XOLO 8X 1000 Black 16 GB^64
Zen X8 Auto Call Recorder Data Security Feature Black^214450315^Alcatel Onetouch Flash Mini 4031D Pure White 4 GB^47
Fly DS 101 Black^42658^Micromax Canvas Power A96 Black 2 58 GB^54
BlackBerry Curve 3G 9300^4892^Fly Snap Blue Blue 4 GB^22
Celkon A95 Pro Black^616422^Asus Zenfone 2 ZE551ML Silver With 2 GB RAM With Full HD Display With 16 GB^37
Nokia Lumia 610 White^188000^XOLO Win Q1000 Green 8 GB^59
HTC Desire SV Orange^537218^Micromax Bolt D321 Blue 4 GB^45
LG T325 TITANIUM BLACK^74960^LG L 60i Black 4 GB^51
Nokia Lumia 610 White^188000^XOLO Play 6X 1000 Black 8 GB^59
Samsung Galaxy S3 Pebble Blue^223083^Karbonn Titanium High 2 S203 White 512 MB^59
Micromax Q66^7228^Panasonic Eluga S White 8 GB^22
BlackBerry Curve 3G 9300^4892^Nokia X Bright Green 4 GB^22
